;id_proyecto;nombre_proyecto;direccion;id_programa;id_proyecto_estado;id_proyecto_subestado;coordenada_x;coordenada_y;valor_inicial_obra;valor_total_adicionado_obra;valor_total_facturado_obra;valor_total_pagado_obra;valor_inicial_interventoria;valor_total_adicionado_interventoria;valor_total_facturado_interventoria;valor_total_pagado_interventoria;fecha_entrega;ampliacion_contractual;;
;91;InfraEducativa-3691 - IE Hogar Mariano [Cocina];KR 14 58 36;5;3;7;-74,80641444;10,96045685;$ 288.130.900,06;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 16.730.960,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;18/08/2025;false;;
;92;InfraEducativa-3691 - IE Maria Inmaculada [Cocina];KR 29 70 B 60;5;3;7;-74,80989933;10,98192324;$ 587.276.277,42;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 34.101.500,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;22/08/2025;false;;
;93;InfraEducativa-3691 - IE Mayor de Barranquilla [Cocina];Calle 47 # 44 - 97 ;5;3;7;-74,78699384;10,98584109;$ 347.167.354,47;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 20.159.043,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;31/07/2025;false;;
;94;InfraSalud-1893 - CAMINO Nuevo Barranquilla;Calle 33 #33-09;14;4;9;-74.780.771;10,97248;$ 55.169.765.762,00;$ 93.881.816.594,38;$ 66.895.033.860,00;$ 66.895.033.860,00;$ 9.900.000.000,00;$ 7.810.336.238,84;$ 13.623.178.167,94;$ 13.055.502.565,61;31/12/2024;false;;
;95;InfraSalud-1893 - PASO San Camilo;null;24;4;9;null;null;$ 5.741.446.706,01;$ 7.311.077.220,14;$ 323.294.569,00;$ 323.294.569,00;$ 9.900.000.000,00;$ 7.810.336.238,84;$ 13.623.178.167,94;$ 13.055.502.565,61;31/12/2024;false;;
;96;Escenarios - Mantenimiento Escenarios Deportivos;null;11;4;9;null;null;$ 9.200.000.000,00;null;$ 12.465.391.897,68;$ 4.090.093.488,44;null;null;null;null;30/09/2024;false;;
;97;MejoramientoViviendas-0003 - Módulo 1;null;20;3;7;null;null;$ 21.855.086.929,00;null;$ 12.465.391.897,68;$ 11.361.989.937,74;$ 1.107.894.762,64;null;null;null;31/10/2025;false;;
;98;MejoramientoViviendas-0003 - Módulo 2;null;20;3;7;null;null;$ 21.387.090.725,00;null;$ 5.590.958.835,70;$ 5.590.958.835,70;$ 1.084.170.741,55;null;null;null;31/12/2025;false;;
;99;MejoramientoViviendas-0003 - Módulo 3;null;20;3;7;null;null;$ 21.529.536.578,20;null;$ 8.430.670.982,01;$ 8.430.670.982,01;$ 1.091.391.715,56;null;null;null;30/11/2025;false;;
;100;MejoramientoViviendas-0003 - Módulo 4;null;20;3;7;null;null;$ 21.770.877.323,00;null;$ 11.289.349.046,39;$ 11.289.349.046,39;$ 1.103.625.944,96;null;null;null;30/11/2025;false;;
